ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Segmentation,Specific_food_categories,preferred_activities,Travel_Preferences,Preferred_cuisines,Climate_preference
462809,Male,No,22,No,Healthcare,1.0,Low,4.0,D,"food,",scuba,"leisure,",Fusion,cold
466315,Female,Yes,67,Yes,Engineer,1.0,Low,1.0,B,"food,",cultural,adventure,Middle,"mild,"
461735,Male,Yes,67,Yes,Lawyer,0.0,High,2.0,B,"seafood,","surfing,","leisure,","Eastern,","mild,"
461319,Male,Yes,56,No,Artist,0.0,Average,2.0,C,dishes,"shopping,","business,","Indian,","hot,"
460156,Male,No,32,Yes,Healthcare,1.0,Low,3.0,C,local,"diving,","business,",Middle,"hot,"
464347,Female,No,33,Yes,Healthcare,1.0,Low,3.0,D,local,tours,"leisure,",Middle,"hot,"
465015,Female,Yes,61,Yes,Engineer,0.0,Low,3.0,D,"seafood,","shopping,","leisure,","Eastern,","hot,"
465176,Female,Yes,55,Yes,Artist,1.0,Average,4.0,C,"cuisine,",scuba,"business,","Chinese,",cold
464041,Female,No,26,Yes,Engineer,1.0,Low,3.0,A,"vegetarian,","diving,",adventure,"Indian,",cold
464942,Male,No,19,No,Healthcare,4.0,Low,4.0,D,local,"shopping,",",","Chinese,",cold
460849,Female,Yes,58,No,Doctor,0.0,Low,1.0,B,dishes,cultural,"business,",Fusion,"mild,"
460563,Female,No,41,No,Healthcare,1.0,Low,2.0,C,"seafood,",cultural,",","Eastern,",cold
466865,Female,No,32,No,Homemaker,9.0,Low,5.0,D,"food,","hiking,","business,","Chinese,","hot,"
461644,Male,No,31,No,Healthcare,1.0,Low,6.0,B,local,tours,"business,","Chinese,","warm,"
466772,Male,Yes,58,Yes,Entertainment,1.0,Average,4.0,B,"seafood,","hiking,",adventure,Fusion,"mild,"
464291,Female,Yes,79,Yes,Artist,0.0,High,1.0,C,"food,",scuba,adventure,"Western,","mild,"
466084,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0,A,"vegetarian,",cultural,"business,",Fusion,"mild,"
459675,Female,No,18,No,Healthcare,3.0,Low,4.0,D,"food,","shopping,",",","Western,",cold
465602,Male,Yes,33,Yes,Artist,13.0,Low,2.0,A,local,"diving,",adventure,"Western,","mild,"
459168,Female,No,36,Yes,Artist,5.0,Low,2.0,B,"vegetarian,","surfing,",adventure,Middle,cold
465083,Male,Yes,56,No,Artist,1.0,Average,3.0,C,local,"shopping,","business,","Western,","warm,"
467604,Male,No,31,No,Healthcare,9.0,Low,8.0,A,exotic,cultural,adventure,"Western,","warm,"
459717,Male,Yes,49,Yes,Artist,1.0,Average,3.0,C,spicy,"shopping,",adventure,"Eastern,","mild,"
465882,Male,No,35,Yes,Artist,0.0,Low,1.0,B,dishes,scuba,adventure,Middle,cold
461996,Female,No,35,No,Artist,5.0,Low,4.0,C,dishes,cultural,",","Chinese,","hot,"
463331,Female,Yes,45,Yes,Artist,0.0,Low,3.0,C,exotic,tours,",","Indian,","hot,"
462216,Female,Yes,42,No,Doctor,1.0,Low,2.0,A,exotic,tours,adventure,Fusion,"mild,"
462454,Male,No,19,No,Healthcare,1.0,Low,3.0,D,dishes,"hiking,","leisure,",Middle,"mild,"
459861,Female,Yes,83,No,Lawyer,1.0,High,2.0,D,exotic,tours,",","Indian,","mild,"
467917,Female,No,27,Yes,Healthcare,3.0,Low,4.0,D,"food,",tours,",",Middle,"mild,"
465572,Male,No,32,No,Doctor,5.0,Low,1.0,D,exotic,"shopping,","leisure,","Eastern,",cold
460593,Female,Yes,28,No,Healthcare,1.0,Average,5.0,D,"cuisine,","surfing,",adventure,"Eastern,","hot,"
465891,Female,Yes,28,Yes,Artist,8.0,Low,2.0,A,"food,",cultural,"leisure,","Indian,","warm,"
462044,Female,No,47,Yes,Artist,4.0,Low,1.0,B,exotic,cultural,",","Eastern,",cold
465686,Female,No,22,No,Healthcare,0.0,Low,2.0,D,dishes,scuba,"business,","Western,","hot,"
464590,Female,No,27,Yes,Artist,14.0,Low,3.0,A,"vegetarian,","shopping,","business,","Indian,","mild,"
466152,Male,Yes,40,No,Engineer,8.0,Low,1.0,A,"seafood,",scuba,",","Western,","mild,"
465729,Male,Yes,41,Yes,Artist,0.0,Average,4.0,B,local,"surfing,","business,",Middle,cold
462442,Male,No,19,No,Healthcare,0.0,Low,4.0,D,spicy,scuba,"business,",Fusion,cold
464191,Female,No,45,Yes,Engineer,1.0,Low,1.0,A,"food,",cultural,"business,","Western,","mild,"
462078,Female,Yes,61,No,Artist,1.0,Average,2.0,B,exotic,"shopping,",adventure,Middle,"hot,"
467873,Female,Yes,36,Yes,Artist,1.0,Average,2.0,C,"food,",tours,"leisure,",Fusion,"hot,"
461270,Male,Yes,40,Yes,Artist,1.0,Low,1.0,A,dishes,"diving,","leisure,","Indian,","mild,"
462960,Female,Yes,57,Yes,Entertainment,0.0,Average,2.0,C,exotic,tours,",",Fusion,"mild,"
464961,Male,Yes,76,No,Marketing,1.0,Low,1.0,A,dishes,"surfing,",",","Western,",cold
462110,Male,Yes,32,Yes,Artist,14.0,Average,2.0,B,exotic,"shopping,",",",Middle,"mild,"
465769,Male,No,25,Yes,Healthcare,9.0,Low,4.0,D,dishes,cultural,"business,","Eastern,",cold
465269,Female,Yes,45,Yes,Artist,1.0,Average,3.0,C,"food,","surfing,",",","Chinese,",cold
461891,Male,Yes,48,Yes,Artist,0.0,Average,2.0,C,dishes,scuba,adventure,Fusion,"warm,"
466935,Male,Yes,55,Yes,Artist,9.0,Average,2.0,C,spicy,tours,"leisure,","Eastern,","mild,"
464091,Male,Yes,74,Yes,Lawyer,0.0,High,3.0,D,exotic,scuba,adventure,Fusion,cold
464535,Male,Yes,56,Yes,Lawyer,1.0,High,2.0,A,exotic,"diving,","business,","Chinese,","hot,"
463108,Male,Yes,59,Yes,Lawyer,7.0,High,2.0,A,"food,","hiking,",",","Western,","mild,"
461356,Male,No,25,Yes,Entertainment,0.0,Low,2.0,A,dishes,"diving,",",",Middle,cold
464570,Male,Yes,31,Yes,Doctor,0.0,Average,2.0,A,"food,","surfing,","business,","Western,","mild,"
464580,Male,No,27,No,Artist,8.0,Low,4.0,A,spicy,cultural,adventure,"Eastern,","hot,"
465233,Male,Yes,57,Yes,Artist,0.0,Average,4.0,B,"vegetarian,","shopping,",adventure,Fusion,"mild,"
459954,Male,Yes,27,Yes,Healthcare,8.0,Low,2.0,D,"vegetarian,","surfing,","leisure,",Middle,"warm,"
460219,Female,Yes,51,Yes,Entertainment,8.0,Average,2.0,A,local,"surfing,","leisure,",Middle,"hot,"
460877,Female,Yes,47,No,Artist,0.0,Average,5.0,B,"food,","diving,",adventure,Middle,"warm,"
460191,Female,No,33,No,Healthcare,8.0,Low,4.0,D,dishes,scuba,"business,",Middle,"warm,"
463742,Male,Yes,56,Yes,Artist,0.0,Average,4.0,C,dishes,"hiking,","leisure,",Middle,"warm,"
463691,Female,No,33,No,Homemaker,0.0,Low,3.0,B,dishes,tours,"business,","Chinese,","hot,"
463250,Female,No,36,Yes,Doctor,0.0,Low,2.0,D,"food,",tours,"business,","Indian,",cold
463952,Male,Yes,51,No,Artist,4.0,Low,3.0,A,"cuisine,","diving,","business,","Western,","hot,"
461558,Male,Yes,45,Yes,Engineer,2.0,Average,2.0,C,"vegetarian,","shopping,","business,","Eastern,","mild,"
465379,Male,No,30,No,Healthcare,0.0,Low,4.0,C,"seafood,","diving,",",",Middle,"mild,"
463814,Female,No,26,No,Healthcare,6.0,Low,3.0,D,local,cultural,",","Eastern,",cold
466938,Male,Yes,63,Yes,Artist,8.0,Low,1.0,A,"food,","surfing,","leisure,","Western,",cold
460671,Male,Yes,35,No,Entertainment,8.0,Average,4.0,B,spicy,"shopping,",",","Western,","hot,"
462204,Female,No,19,No,Marketing,1.0,Low,3.0,A,dishes,cultural,",","Western,","mild,"
461671,Male,No,32,No,Healthcare,7.0,Low,5.0,D,"food,","shopping,",",","Eastern,","hot,"
459384,Male,Yes,52,Yes,Artist,0.0,Average,3.0,C,dishes,scuba,",","Indian,","warm,"
